,WineName,Winery,Country,Rating,NumberOfRatings,Price
310,Mr. Black's Little Book Shiraz 2017,Small Gully,Australia,3.8,52 ratings,19.49
311,Olho no Pé Vinhas Velhas Reserva Tinto 2013,Folias de Baco,Portugal,3.8,50 ratings,13.6
312,Vigna Flaminio Brindisi Riserva 2009,Vallone,Italy,3.8,50 ratings,15.43
313,Gran Reserva - 10 Years Tempranillo 2013,Anciano,Spain,3.8,50 ratings,14.7
314,Pinot Noir 2018,Los Morros,Chile,3.8,44 ratings,24.99
315,Rosso di Montalcino 2012,Corte dei Venti,Italy,3.8,42 ratings,19.71
316,Vinhão 2016,Aphros,Portugal,3.8,40 ratings,16.8
317,Time Waits For No One 6M 2016,Finca Bacara,Spain,3.8,40 ratings,21.95
318,Dangerous Liaison Red 2018,Dirty Laundry Vineyard,Canada,3.8,39 ratings,23.99
319,Álvaro Castro Tinto 2016,Quinta da Pellada,Portugal,3.8,39 ratings,16.55
